userWallet,num_actions,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit,total_borrow,total_repay,total_redeem,repay_to_borrow_ratio,net_flow,active_days,time_span_days,unique_assets_used
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,2,3,1,4,0,999090000.0,507497107.0,512437824.0,1211281152.0,1.009735458452574,-212191152.0,6,83,2
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,1,1,0,0,0,8.458931552812315e+17,500000000.0,0.0,0.0,0.0,8.458931552812315e+17,1,1,2
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,2,1,1,2,0,2.5e+19,1.6e+19,1.6e+19,2.499999e+19,1.0,10000000000000.0,1,1,1
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,1,1,1,4,0,2.9350141e+17,592247574.0,592297200.0,1.0286267851818746e+20,1.0000837926606687,-1.0256917710818746e+20,2,1,4
0x000660cad76200a2e326f53e033919905e6c50f5,1,1,0,0,0,0,1064772.0,0.0,0.0,0.0,0.0,1064772.0,1,1,1
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1,0,0,0,0,1.3e+18,0.0,0.0,0.0,0.0,1.3e+18,1,1,1
0x00080000158a9930aeb508823103b0a977161c47,2,2,0,0,0,0,3e+18,0.0,0.0,0.0,0.0,3e+18,2,10,1
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,2,0,0,0,0,4712595639187231.0,0.0,0.0,0.0,0.0,4712595639187231.0,2,8,1
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,1,0,0,0,0,4.1e+16,0.0,0.0,0.0,0.0,4.1e+16,1,1,1
0x000a27ba176083e4b50177378cbe7469a00dd557,12,4,2,2,4,0,276526904.0,160000000.0,160082274.0,276749587.0,1.0005142125,-222683.0,4,34,2
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,18,8,5,12,0,1.9281445079779706e+22,4.800000001338327e+19,13385125834.0,3.271107887723154e+22,2.78856788130583e-10,-1.3429633797451833e+22,10,26,5
0x000ab43e658935ba39504a1424b01756c1e9644c,2,1,1,0,0,0,1e+17,1e+16,0.0,0.0,0.0,1e+17,1,1,1
